relativeTimeMs,module,key,value
32800.934076,tracing.bikesim,front_wheel_y,99.839320
32801.038504,tracing.bikesim,back_wheel_x,-1.629416
32801.148891,tracing.bikesim,back_wheel_y,98.424594
32801.282167,tracing.bikesim,front_angle,2.602648
32809.539557,tracing.bikesim,speed,4.884341
32809.739351,tracing.bikesim,steer_angle,0.252933
32809.848547,tracing.bikesim,bike_yaw,2.361948
32809.940577,tracing.bikesim,front_wheel_x,-3.085189
32810.028076,tracing.bikesim,front_wheel_y,99.864132
32810.113907,tracing.bikesim,back_wheel_x,-1.662863
32810.419083,tracing.irspeed,irspeed_tick,002894
32811.584234,tracing.irspeed,irspeed_interval,0.043003
32811.470509,tracing.bikesim,back_wheel_y,98.458078
32811.750412,tracing.bikesim,front_angle,2.608764
32823.609829,tracing.android,steering_angle,14.581935
32823.893309,tracing.bikesim,speed,4.962635
32825.303555,tracing.bikesim,steer_angle,0.254503
32825.450182,tracing.bikesim,bike_yaw,2.368200
32825.556755,tracing.bikesim,front_wheel_x,-3.128129
32825.657129,tracing.bikesim,front_wheel_y,99.889011
32825.755119,tracing.bikesim,back_wheel_x,-1.697039
32825.851202,tracing.bikesim,back_wheel_y,98.491877
32825.948238,tracing.bikesim,front_angle,2.616451
32834.287405,tracing.bikesim,speed,4.962635
32834.533215,tracing.bikesim,steer_angle,0.254503
32834.645510,tracing.bikesim,bike_yaw,2.374452
32834.754229,tracing.bikesim,front_wheel_x,-3.171223
32835.232973,tracing.bikesim,front_wheel_y,99.913622
32835.354567,tracing.bikesim,back_wheel_x,-1.731426
32835.450411,tracing.bikesim,back_wheel_y,98.525462
32835.562944,tracing.bikesim,front_angle,2.622703
32849.797726,tracing.bikesim,speed,4.962635
32850.921869,tracing.bikesim,steer_angle,0.254503
32851.195812,tracing.bikesim,bike_yaw,2.380704
32851.322174,tracing.bikesim,front_wheel_x,-3.214470
32851.481676,tracing.bikesim,front_wheel_y,99.937962
32851.628304,tracing.bikesim,back_wheel_x,-1.766023
32851.735353,tracing.bikesim,back_wheel_y,98.558831
32851.833344,tracing.bikesim,front_angle,2.628955
32853.156567,tracing.irspeed,irspeed_tick,002895
32853.419781,tracing.irspeed,irspeed_interval,0.042433
32863.140345,tracing.bikesim,speed,4.978937
32865.092993,tracing.bikesim,steer_angle,0.254503
32865.423918,tracing.bikesim,bike_yaw,2.386976
32865.572214,tracing.bikesim,front_wheel_x,-3.258011
32865.668058,tracing.bikesim,front_wheel_y,99.962111
32865.759373,tracing.bikesim,back_wheel_x,-1.800942
32865.848541,tracing.bikesim,back_wheel_y,98.592093
32865.936279,tracing.bikesim,front_angle,2.635207
32873.682976,tracing.bikesim,speed,4.978937
32873.850346,tracing.bikesim,steer_angle,0.254503
32873.945475,tracing.bikesim,bike_yaw,2.393249
32874.038696,tracing.bikesim,front_wheel_x,-3.301702
32874.125242,tracing.bikesim,front_wheel_y,99.985986
32874.232054,tracing.bikesim,back_wheel_x,-1.836068
32874.392033,tracing.bikesim,back_wheel_y,98.625134
32874.501705,tracing.bikesim,front_angle,2.641479
32885.224819,tracing.android,steering_angle,15.447825
32885.658264,tracing.bikesim,speed,4.978937
32886.416912,tracing.bikesim,steer_angle,0.269615
32886.589289,tracing.bikesim,bike_yaw,2.399886
32886.706829,tracing.bikesim,front_wheel_x,-3.345894
32886.809349,tracing.bikesim,front_wheel_y,100.008922
32886.906147,tracing.bikesim,back_wheel_x,-1.871261
32887.008905,tracing.bikesim,back_wheel_y,98.657827
32887.102365,tracing.bikesim,front_angle,2.662864
32895.546913,tracing.irspeed,irspeed_tick,002896
32895.750999,tracing.irspeed,irspeed_interval,0.041804
32895.882368,tracing.bikesim,speed,5.097100
32896.032810,tracing.bikesim,steer_angle,0.269615
32896.250010,tracing.bikesim,bike_yaw,2.406680
32897.091866,tracing.bikesim,front_wheel_x,-3.391290
32897.196054,tracing.bikesim,front_wheel_y,100.032101
32897.289753,tracing.bikesim,back_wheel_x,-1.907511
32897.382021,tracing.bikesim,back_wheel_y,98.691056
32897.474527,tracing.bikesim,front_angle,2.669501
32906.736851,tracing.bikesim,speed,5.097100
32906.956911,tracing.bikesim,steer_angle,0.269615
32907.211542,tracing.bikesim,bike_yaw,2.413475
32907.326937,tracing.bikesim,front_wheel_x,-3.436842
32912.376642,tracing.bikesim,front_wheel_y,100.054971
32912.686586,tracing.bikesim,back_wheel_x,-1.943986
32912.836790,tracing.bikesim,back_wheel_y,98.724039
32912.941217,tracing.bikesim,front_angle,2.676296
32920.344353,tracing.bikesim,speed,5.097100
32920.658827,tracing.bikesim,steer_angle,0.269615
32920.899153,tracing.bikesim,bike_yaw,2.420269
32921.071768,tracing.bikesim,front_wheel_x,-3.482549
32921.274424,tracing.bikesim,front_wheel_y,100.077531
32921.389818,tracing.bikesim,back_wheel_x,-1.980684
32921.518087,tracing.bikesim,back_wheel_y,98.756773
32922.515154,tracing.bikesim,front_angle,2.683090
32926.759720,tracing.android,steering_angle,12.057811
32931.909561,tracing.bikesim,speed,5.097100
32932.454109,tracing.bikesim,steer_angle,0.210449
32932.832479,tracing.bikesim,bike_yaw,2.425596
32932.949066,tracing.bikesim,front_wheel_x,-3.527012
32933.048487,tracing.bikesim,front_wheel_y,100.102453
32933.175325,tracing.bikesim,back_wheel_x,-2.018133
32933.294058,tracing.bikesim,back_wheel_y,98.789714
32933.391333,tracing.bikesim,front_angle,2.630718
32934.726477,tracing.irspeed,irspeed_tick,002897
32934.913158,tracing.irspeed,irspeed_interval,0.041126
32953.017712,tracing.bikesim,speed,5.170923
32961.640120,tracing.bikesim,steer_angle,0.210449
32961.834908,tracing.bikesim,bike_yaw,2.431000
32962.356329,tracing.bikesim,front_wheel_x,-3.572253
32962.570429,tracing.bikesim,front_wheel_y,100.127495
32962.697268,tracing.bikesim,back_wheel_x,-2.056302
32962.802410,tracing.bikesim,back_wheel_y,98.822929
32962.895870,tracing.bikesim,front_angle,2.636045
32963.096857,tracing.bikesim,speed,5.170923
32963.269472,tracing.bikesim,steer_angle,0.210449
32963.386297,tracing.bikesim,bike_yaw,2.436404
32963.495255,tracing.bikesim,front_wheel_x,-3.617628
32963.794947,tracing.bikesim,front_wheel_y,100.152292
32963.901520,tracing.bikesim,back_wheel_x,-2.094649
32963.996649,tracing.bikesim,back_wheel_y,98.855937
32965.416670,tracing.bikesim,front_angle,2.641449
32974.549294,tracing.android,steering_angle,7.250888
32974.804401,tracing.bikesim,speed,5.170923
32974.906445,tracing.bikesim,steer_angle,0.126552
32975.502968,tracing.bikesim,bike_yaw,2.439668
32975.655079,tracing.bikesim,front_wheel_x,-3.660919
32980.667591,tracing.irspeed,irspeed_tick,002898
32981.605530,tracing.irspeed,irspeed_interval,0.041550
32980.714798,tracing.bikesim,front_wheel_y,100.180571
32994.856358,tracing.bikesim,back_wheel_x,-2.133718
32995.054960,tracing.bikesim,back_wheel_y,98.889194
32995.345592,tracing.bikesim,front_angle,2.562956
32995.632410,tracing.bikesim,speed,5.217515
32995.918512,tracing.bikesim,steer_angle,0.126552
32996.024609,tracing.bikesim,bike_yaw,2.442961
32996.147156,tracing.bikesim,front_wheel_x,-3.704694
32996.283293,tracing.bikesim,front_wheel_y,100.208962
32996.507645,tracing.bikesim,back_wheel_x,-2.173248
32996.612787,tracing.bikesim,back_wheel_y,98.922621
32996.841431,tracing.bikesim,front_angle,2.566220
33005.812883,tracing.bikesim,speed,5.217515
33006.382704,tracing.bikesim,steer_angle,0.126552
33007.609367,tracing.bikesim,bike_yaw,2.446255
33008.908749,tracing.bikesim,front_wheel_x,-3.748562
33009.190798,tracing.bikesim,front_wheel_y,100.237209
33009.288073,tracing.bikesim,back_wheel_x,-2.212887
33009.370565,tracing.bikesim,back_wheel_y,98.955919
33009.519339,tracing.bikesim,front_angle,2.569513
33017.285109,tracing.bikesim,speed,5.217515
33017.811060,tracing.bikesim,steer_angle,0.126552
33017.952681,tracing.bikesim,bike_yaw,2.449548
33018.082142,tracing.bikesim,front_wheel_x,-3.792522
33018.232107,tracing.bikesim,front_wheel_y,100.265311
33018.365145,tracing.bikesim,back_wheel_x,-2.252636
33018.471956,tracing.bikesim,back_wheel_y,98.989085
33018.806696,tracing.irspeed,irspeed_tick,002899
33019.039869,tracing.irspeed,irspeed_interval,0.041534
33018.847227,tracing.bikesim,front_angle,2.572806
33023.901224,tracing.android,steering_angle,9.366840
33028.403759,tracing.bikesim,speed,5.256136
33028.600931,tracing.bikesim,steer_angle,0.163482
33028.737545,tracing.bikesim,bike_yaw,2.453827
33028.854847,tracing.bikesim,front_wheel_x,-3.837910
33030.035496,tracing.bikesim,front_wheel_y,100.291817
33030.279636,tracing.bikesim,back_wheel_x,-2.292578
33030.401945,tracing.bikesim,back_wheel_y,99.022192
33030.499697,tracing.bikesim,front_angle,2.613030
33038.841486,tracing.bikesim,speed,5.256136
33039.013863,tracing.bikesim,steer_angle,0.163482
33039.130211,tracing.bikesim,bike_yaw,2.458105
33039.257288,tracing.bikesim,front_wheel_x,-3.883412
33039.751530,tracing.bikesim,front_wheel_y,100.318129
33040.774822,tracing.bikesim,back_wheel_x,-2.332661
33041.027308,tracing.bikesim,back_wheel_y,99.055127
33041.245461,tracing.bikesim,front_angle,2.617309
33050.711393,tracing.bikesim,speed,5.256136
33050.982952,tracing.bikesim,steer_angle,0.163482
33051.330805,tracing.bikesim,bike_yaw,2.462384
33051.555634,tracing.bikesim,front_wheel_x,-3.929026
33051.673174,tracing.bikesim,front_wheel_y,100.344246
33051.767826,tracing.bikesim,back_wheel_x,-2.372885
33051.859856,tracing.bikesim,back_wheel_y,99.087891
33051.949024,tracing.bikesim,front_angle,2.621588
33063.897610,tracing.irspeed,irspeed_tick,002900
33065.501690,tracing.irspeed,irspeed_interval,0.042054
33064.146519,tracing.bikesim,speed,5.210039
33066.037655,tracing.bikesim,steer_angle,0.163482
33066.341162,tracing.bikesim,bike_yaw,2.466626
33066.579819,tracing.bikesim,front_wheel_x,-3.974350
33066.683292,tracing.bikesim,front_wheel_y,100.369940
33069.576502,tracing.bikesim,back_wheel_x,-2.412895
33069.919348,tracing.bikesim,back_wheel_y,99.120197
33070.041895,tracing.bikesim,front_angle,2.625866
33071.300745,tracing.android,steering_angle,9.707434
33075.147867,tracing.bikesim,speed,5.210039
33075.335741,tracing.bikesim,steer_angle,0.169427
33075.439215,tracing.bikesim,bike_yaw,2.471020
33075.559139,tracing.bikesim,front_wheel_x,-4.019933
33075.647116,tracing.bikesim,front_wheel_y,100.395171
33075.873852,tracing.bikesim,back_wheel_x,-2.453001
33075.971365,tracing.bikesim,back_wheel_y,99.152301
33076.085567,tracing.bikesim,front_angle,2.636052
33087.378740,tracing.bikesim,speed,5.210039
33088.277340,tracing.bikesim,steer_angle,0.169427
33088.460445,tracing.bikesim,bike_yaw,2.475414
33088.601828,tracing.bikesim,front_wheel_x,-4.065627
33088.709593,tracing.bikesim,front_wheel_y,100.420202
33088.811874,tracing.bikesim,back_wheel_x,-2.493249
33088.905334,tracing.bikesim,back_wheel_y,99.184229
33089.000225,tracing.bikesim,front_angle,2.640446
33097.774506,tracing.bikesim,speed,5.210039
33097.955704,tracing.bikesim,steer_angle,0.169427
33098.057508,tracing.bikesim,bike_yaw,2.479808
33098.194361,tracing.bikesim,front_wheel_x,-4.111430
33098.338366,tracing.bikesim,front_wheel_y,100.445031
33098.472357,tracing.bikesim,back_wheel_x,-2.533636
33098.573685,tracing.bikesim,back_wheel_y,99.215980
33098.666906,tracing.bikesim,front_angle,2.644840
33110.833406,tracing.irspeed,irspeed_tick,002901
33111.118793,tracing.bikesim,speed,5.196560
33111.191034,tracing.irspeed,irspeed_interval,0.042133
33111.393213,tracing.bikesim,steer_angle,0.169427
33111.667156,tracing.bikesim,bike_yaw,2.484191
33111.859798,tracing.bikesim,front_wheel_x,-4.157223
33111.973047,tracing.bikesim,front_wheel_y,100.469596
33112.264156,tracing.bikesim,back_wheel_x,-2.574058
33112.387896,tracing.bikesim,back_wheel_y,99.247471
33112.504959,tracing.bikesim,front_angle,2.649235
33119.091034,tracing.android,steering_angle,3.502111
33124.118567,tracing.bikesim,speed,5.196560
33124.314308,tracing.bikesim,steer_angle,0.061123
33124.441385,tracing.bikesim,bike_yaw,2.485778
33124.560118,tracing.bikesim,front_wheel_x,-4.200221
33124.691725,tracing.bikesim,front_wheel_y,100.498778
33124.792337,tracing.bikesim,back_wheel_x,-2.615118
33124.886036,tracing.bikesim,back_wheel_y,99.279168
33125.295162,tracing.bikesim,front_angle,2.545314
33135.040522,tracing.bikesim,speed,5.196560
33135.220766,tracing.bikesim,steer_angle,0.061123
33135.380268,tracing.bikesim,bike_yaw,2.487365
33135.488749,tracing.bikesim,front_wheel_x,-4.243265
33135.590792,tracing.bikesim,front_wheel_y,100.527892
33135.689735,tracing.bikesim,back_wheel_x,-2.656229
33135.785818,tracing.bikesim,back_wheel_y,99.310799
33135.880470,tracing.bikesim,front_angle,2.546901
33157.576084,tracing.bikesim,speed,5.196560
33157.817364,tracing.irspeed,irspeed_tick,002902
33158.246279,tracing.irspeed,irspeed_interval,0.043380
33157.884359,tracing.bikesim,steer_angle,0.061123
33161.967993,tracing.bikesim,bike_yaw,2.488952
33162.124157,tracing.bikesim,front_wheel_x,-4.286356
33162.627459,tracing.bikesim,front_wheel_y,100.556937
33162.772417,tracing.bikesim,back_wheel_x,-2.697389
33162.874222,tracing.bikesim,back_wheel_y,99.342365
33162.967443,tracing.bikesim,front_angle,2.548488
33168.464184,tracing.bikesim,speed,5.120672
33168.677092,tracing.bikesim,steer_angle,0.061123
33178.966045,tracing.bikesim,bike_yaw,2.490516
33179.233789,tracing.android,steering_angle,3.417963
33179.519176,tracing.bikesim,front_wheel_x,-4.328862
33179.880619,tracing.bikesim,front_wheel_y,100.585491
33179.997206,tracing.bikesim,back_wheel_x,-2.737998
33180.095434,tracing.bikesim,back_wheel_y,99.373406
33180.198669,tracing.bikesim,front_angle,2.550076
33180.837154,tracing.bikesim,speed,5.120672
33181.007385,tracing.bikesim,steer_angle,0.059655
33181.128263,tracing.bikesim,bike_yaw,2.492043
33181.254148,tracing.bikesim,front_wheel_x,-4.371371
33181.350231,tracing.bikesim,front_wheel_y,100.614041
